date,close,volume
2024-08-05,2266.0,447100
2024-08-06,2407.5,331800
2024-08-07,2282.0,661200
2024-08-08,2274.5,401300
2024-08-09,2352.5,310100
2024-08-13,2364.5,261800
2024-08-14,2400.0,220600
2024-08-15,2464.5,140200
2024-08-16,2539.0,185100
2024-08-19,2484.5,155900
2024-08-20,2537.0,129500
2024-08-21,2525.0,58100
2024-08-22,2576.0,140100
2024-08-23,2581.5,122200
2024-08-26,2597.0,146000
2024-08-27,2591.5,92800
2024-08-28,2571.0,103900
2024-08-29,2586.0,93300
2024-08-30,2611.0,140200
2024-09-02,2607.0,106000
2024-09-03,2620.5,94700
2024-09-04,2591.5,194900
2024-09-05,2600.5,180000
2024-09-06,2586.0,140200
2024-09-09,2603.5,172200
2024-09-10,2623.0,179400
2024-09-11,2552.0,171700
2024-09-12,2591.0,118000
2024-09-13,2553.0,119400
2024-09-17,2562.0,114600
2024-09-18,2564.0,128100
2024-09-19,2579.0,89900
2024-09-20,2599.5,246500
2024-09-24,2615.0,131800
2024-09-25,2627.5,135200
2024-09-26,2662.5,210400
2024-09-27,2622.5,178400
2024-09-30,2558.0,165500
2024-10-01,2567.5,132400
2024-10-02,2529.0,123100
2024-10-03,2550.0,117200
2024-10-04,2599.0,188300
2024-10-07,2624.5,161800
2024-10-08,2577.0,136100
2024-10-09,2576.5,136600
2024-10-10,2578.5,81400
2024-10-11,2537.0,109200
2024-10-15,2557.0,158900
2024-10-16,2541.0,92800
2024-10-17,2526.0,80300
2024-10-18,2531.0,72600
2024-10-21,2521.0,87200
2024-10-22,2497.5,125700
2024-10-23,2492.0,97100
2024-10-24,2475.5,128700
2024-10-25,2467.0,123300
2024-10-28,2490.0,95700
2024-10-29,2489.0,128800
2024-10-30,2497.0,486300
2024-10-31,2499.0,257800
2024-11-01,2428.0,174800
2024-11-05,2462.0,186000
2024-11-06,2501.0,191600
2024-11-07,2571.0,343900
2024-11-08,2559.0,238700
2024-11-11,2581.0,191600
2024-11-12,2598.0,195400
2024-11-13,2623.5,129500
2024-11-14,2641.5,206100
2024-11-15,2645.5,150500
2024-11-18,2627.5,131100
2024-11-19,2603.5,133200
2024-11-20,2599.0,113000
2024-11-21,2591.0,121200
2024-11-22,2639.5,175900
2024-11-25,2612.0,231900
2024-11-26,2618.0,124500
2024-11-27,2574.0,150100
2024-11-28,2559.0,134100
2024-11-29,2555.0,148200
2024-12-02,2523.5,180900
2024-12-03,2602.5,270300
2024-12-04,2564.5,119500
2024-12-05,2552.0,128100
2024-12-06,2550.0,151800
2024-12-09,2572.0,197400
2024-12-10,2570.0,198900
2024-12-11,2549.0,131400
2024-12-12,2567.5,167400
2024-12-13,2594.0,239200
2024-12-16,2595.0,167200
2024-12-17,2622.0,170900
2024-12-18,2618.0,127800
2024-12-19,2603.0,92600
2024-12-20,2598.0,159300
2024-12-23,2599.5,169600
2024-12-24,2574.0,104100
2024-12-25,2550.0,104500
2024-12-26,2572.5,153000
2024-12-27,2612.0,164900
2024-12-30,2595.0,180600
2025-01-06,2563.0,194200
2025-01-07,2624.5,343800
2025-01-08,2648.0,206900
2025-01-09,2605.0,196200
2025-01-10,2572.0,123800
2025-01-14,2526.0,164800
2025-01-15,2512.5,149900
2025-01-16,2511.5,120700
2025-01-17,2506.5,153700
2025-01-20,2534.0,89000
2025-01-21,2573.0,167800
2025-01-22,2585.5,130700
2025-01-23,2563.0,121600
2025-01-24,2573.0,152500
2025-01-27,2605.0,115800
2025-01-28,2614.0,115700
2025-01-29,2615.5,89700
2025-01-30,2672.0,187600
2025-01-31,2644.5,140900
2025-02-03,2535.0,176500
2025-02-04,2504.5,137000
2025-02-05,2525.5,111200
2025-02-06,2602.5,372400
2025-02-07,2625.0,249700
2025-02-10,2589.5,148000
2025-02-12,2627.5,164100
2025-02-13,2673.5,207400
2025-02-14,2674.0,122000
2025-02-17,2644.0,120500
2025-02-18,2670.5,88300
2025-02-19,2620.5,98900
2025-02-20,2597.0,141800
2025-02-21,2583.0,122800
2025-02-25,2598.5,120200
2025-02-26,2578.0,119100
2025-02-27,2609.5,123200
2025-02-28,2599.5,96300
2025-03-03,2641.0,119700
2025-03-04,2640.0,131500
2025-03-05,2654.0,99100
2025-03-06,2699.0,135800
2025-03-07,2703.0,164400
2025-03-10,2704.5,182800
2025-03-11,2754.5,337300
2025-03-12,2759.0,191300
2025-03-13,2750.0,154500
2025-03-14,2745.0,110900
2025-03-17,2752.0,114900
2025-03-18,2769.5,123900
2025-03-19,2803.0,135900
2025-03-21,2802.5,138100
2025-03-24,2757.0,100400
