date,close,volume
2024-08-05,6550.0,91300
2024-08-06,7340.0,58700
2024-08-07,6960.0,74100
2024-08-08,7100.0,68100
2024-08-09,7080.0,42400
2024-08-13,7300.0,36300
2024-08-14,7310.0,15500
2024-08-15,7200.0,27300
2024-08-16,7560.0,33700
2024-08-19,7610.0,19900
2024-08-20,7830.0,20600
2024-08-21,7660.0,20700
2024-08-22,8000.0,40500
2024-08-23,7940.0,16300
2024-08-26,8030.0,19000
2024-08-27,8170.0,21500
2024-08-28,8100.0,9700
2024-08-29,8110.0,23800
2024-08-30,8100.0,20700
2024-09-02,8030.0,16000
2024-09-03,8300.0,22500
2024-09-04,8190.0,42200
2024-09-05,8190.0,22000
2024-09-06,8160.0,13700
2024-09-09,8150.0,13700
2024-09-10,8110.0,15900
2024-09-11,7930.0,19500
2024-09-12,8250.0,25600
2024-09-13,8110.0,23100
2024-09-17,7950.0,24900
2024-09-18,8060.0,16900
2024-09-19,8250.0,29600
2024-09-20,8210.0,28900
2024-09-24,8220.0,17400
2024-09-25,8260.0,22600
2024-09-26,8350.0,30800
2024-09-27,8380.0,18800
2024-09-30,8220.0,17700
2024-10-01,8280.0,12700
2024-10-02,8160.0,26800
2024-10-03,8200.0,15900
2024-10-04,8300.0,15700
2024-10-07,8290.0,27300
2024-10-08,8320.0,22700
2024-10-09,8440.0,39600
2024-10-10,8250.0,25200
2024-10-11,8290.0,24100
2024-10-15,8350.0,45300
2024-10-16,7800.0,99100
2024-10-17,8100.0,56700
2024-10-18,8310.0,35500
2024-10-21,8340.0,19500
2024-10-22,8630.0,70500
2024-10-23,8720.0,54900
2024-10-24,8070.0,74800
2024-10-25,8010.0,39400
2024-10-28,8210.0,29200
2024-10-29,7990.0,47300
2024-10-30,8160.0,55700
2024-10-31,8260.0,38500
2024-11-01,8130.0,23300
2024-11-05,8230.0,25700
2024-11-06,8190.0,19200
2024-11-07,8180.0,23200
2024-11-08,8150.0,21300
2024-11-11,8150.0,19500
2024-11-12,8110.0,17800
2024-11-13,8060.0,18700
2024-11-14,8000.0,30900
2024-11-15,8020.0,14600
2024-11-18,7830.0,15000
2024-11-19,7870.0,12600
2024-11-20,7920.0,24000
2024-11-21,7740.0,39700
2024-11-22,7680.0,15200
2024-11-25,7650.0,33100
2024-11-26,7590.0,18100
2024-11-27,7600.0,20200
2024-11-28,7670.0,15500
2024-11-29,7670.0,10700
2024-12-02,7570.0,16400
2024-12-03,7580.0,22300
2024-12-04,7440.0,28000
2024-12-05,7400.0,34300
2024-12-06,7420.0,29200
2024-12-09,7450.0,26200
2024-12-10,7450.0,30800
2024-12-11,7430.0,20700
2024-12-12,7520.0,28800
2024-12-13,7670.0,32900
2024-12-16,7610.0,22000
2024-12-17,7610.0,30500
2024-12-18,7590.0,20200
2024-12-19,7550.0,26200
2024-12-20,7450.0,30200
2024-12-23,7550.0,17300
2024-12-24,7520.0,11400
2024-12-25,7600.0,10800
2024-12-26,7600.0,22400
2024-12-27,7570.0,16100
2024-12-30,7530.0,38200
2025-01-06,7230.0,35000
2025-01-07,7290.0,31000
2025-01-08,7170.0,19100
2025-01-09,7100.0,34200
2025-01-10,7000.0,27800
2025-01-14,6940.0,24500
2025-01-15,7010.0,22100
2025-01-16,6990.0,15200
2025-01-17,6950.0,20800
2025-01-20,7200.0,36600
2025-01-21,7350.0,44500
2025-01-22,7510.0,45200
2025-01-23,7480.0,43200
2025-01-24,7450.0,58300
2025-01-27,8140.0,216300
2025-01-28,7860.0,85200
2025-01-29,7950.0,48500
2025-01-30,7960.0,43600
2025-01-31,7750.0,43500
2025-02-03,7670.0,31800
2025-02-04,7500.0,28000
2025-02-05,7420.0,19100
2025-02-06,7430.0,12500
2025-02-07,7340.0,22600
2025-02-10,7280.0,11000
2025-02-12,7210.0,14200
2025-02-13,7280.0,13000
2025-02-14,7160.0,19100
2025-02-17,7010.0,16900
2025-02-18,7010.0,21300
2025-02-19,7220.0,23500
2025-02-20,7110.0,28000
2025-02-21,7130.0,22500
